,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192,194,196,198,200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300
20000,6.597915,6.875713,6.908716667,8.455108333,7.243517333,6.1693,5.285102,4.589326,3.895390667,4.061640667,3.807646,3.966506,4.219629667,4.563678,4.198195667,4.056639,4.046095667,3.791182667,3.662493,3.865929,3.752607333,3.659467,3.672669333,3.681975,4.043997667,3.497516667,3.670905,4.354628667,3.429328667,3.781994667,3.653243667,4.033357333,3.518067,3.917845333,4.574906333,8.878657,9.427303667,9.057422,8.803540667,9.866789,9.111812667,6.640555333,6.277435667,5.187240333,4.462336667,4.301607333,3.857257333,2.477736333,2.276077667,2.24439,2.235881,2.246379333,2.236927,2.550533333,2.412586,2.275465333,2.282784333,2.29323,2.313704,2.362685667,2.346265667,2.334977667,2.383642333,2.370934333,2.362600667,2.370895667,2.392827,2.431084667,2.46536,2.446934333,2.393896333,2.312859,2.348036667,2.315670667,2.360813667,2.471231333,2.375813,2.472523,3.815498333,3.186273,2.701280667,2.820221333,2.643889333,2.79255,3.472195,3.145507667,2.795705,2.635245,2.623063333,2.64507,2.64887,2.881916,2.708107667,2.743781,2.735691667,2.735881333,2.765195333,2.757551333,3.066702667,3.129398667,2.813227,2.792212667,2.800992667,2.804744667,2.829107333,2.853188667,2.750324,2.735968333,2.746921333,2.794826333,2.817281,2.788913667,3.121596333,4.616725333,3.038927667,2.911180667,2.895996333,2.948509667,2.989423667,2.959764667,2.985683333,3.079292,3.042254667,3.089053,3.103022333,3.881915,3.419821333,4.299279,3.178891,3.226593333,3.203987667,3.311184333,3.319261667,3.281933,3.239893,3.236539333,3.222723333,3.222732667,3.399733667,3.783023667,3.675454333,3.667963,3.293990333,3.778468,3.865682667,3.669047,3.606594333,3.621447,4.166403333,4.219773
520000,85.307672,86.05031367,86.18656467,77.13127233,77.44935167,77.13244967,78.61950067,80.94708033,79.156678,77.42101067,77.10881267,78.42983633,78.89537,81.16292233,80.59443033,86.94615233,83.33433133,85.354243,84.14184733,82.46010933,85.47469267,85.86912633,85.25089733,89.71706533,88.81380933,89.539974,88.75486233,90.60365833,94.36297733,92.96341,93.58400033,98.30306867,96.26421633,97.18674767,95.76968133,99.96619567,99.44632133,102.327507,101.4944973,104.539986,105.2099287,107.543694,107.9860037,108.8880433,109.1220287,108.2767163,109.6878157,110.9092917,111.434169,112.765274,112.791842,113.7047717,117.1780637,117.3715863,116.101066,122.3309367,120.465717,123.3181403,119.4901717,123.285966,123.8045327,127.757277,124.6379867,126.815723,129.1990483,129.5756063,128.7900163,138.3186483,133.6773783,135.022217,133.5255787,135.228529,137.8708607,138.368348,136.939976,139.338456,140.002954,141.0085497,141.100394,143.9265253,148.4499523,146.99293,145.2548937,149.3867523,149.7957283,156.8716107,149.6498773,154.138999,153.724494,156.5461743,154.244726,157.6149413,162.66238,162.5137577,158.4980803,160.837082,162.231846,163.233487,162.2757527,170.6924117,168.7281063,170.5423033,167.8629027,169.523703,171.8571187,172.8154453,172.6242653,173.7161477,174.966265,176.276235,175.6527453,181.9177193,184.8415243,181.8329437,197.091419,182.8523033,183.126927,184.5014353,184.313835,188.351817,186.9215117,187.4883733,188.1299927,189.5015147,194.3547477,191.6810037,190.8447587,195.1037163,194.4231627,195.5027037,194.1559863,197.8655043,198.98908,200.0020477,199.3234967,201.117799,205.3412253,204.8905503,202.6495577,206.3586663,211.1073173,209.576438,212.0254637,210.856103,212.0908433,213.025514,212.6916057,215.614902,216.1818347,216.4424037
1020000,179.1527593,173.9389283,172.4372397,176.077646,170.937614,170.927523,170.533172,176.251135,173.1735977,172.6792723,173.7193227,174.1066577,175.8302533,179.1094593,179.1364773,180.243968,182.893733,183.2750093,195.394665,186.514516,187.5083657,192.3465877,191.2007837,193.5250377,196.7555013,201.6531853,198.8429173,200.2822587,201.0087423,204.147623,205.294313,207.4205597,212.760979,212.5006183,212.492226,221.016592,217.9459923,221.215564,220.1535573,223.50291,224.8399977,231.694314,229.5470557,232.3957007,233.748629,234.3958497,254.161239,240.254644,242.147049,242.7420043,246.878946,250.517003,249.6316523,250.8258623,254.8026893,254.853943,255.9393617,256.5989563,260.5028153,265.754229,264.7804607,267.137583,266.5469643,269.428261,274.39704,276.603938,276.3435947,303.218397,283.653573,282.3532643,283.2420843,308.4234407,287.2400303,294.1126377,298.3460757,296.6539077,300.7903717,299.325297,303.9752357,323.7211347,335.652566,320.795703,339.8977867,346.499181,342.809541,350.5557563,352.7384583,356.497162,350.9060473,338.7408403,335.9103617,331.594331,331.6702323,332.083573,336.810604,346.302359,342.3241307,341.8308117,353.142857,347.1605053,352.4339707,349.5918367,356.6190553,356.5474117,355.5155607,361.3022977,363.0008253,369.1993553,373.850927,369.8007503,392.8788263,394.679738,385.0808377,378.2568673,386.1202457,380.5436597,383.625685,389.6216087,386.179138,391.098428,389.6771363,390.4941993,393.6206437,396.738179,400.5745703,398.087653,397.9479747,403.4948813,404.760967,437.2880533,432.1844693,431.5814243,414.7824007,435.3021717,420.9251783,422.7651903,422.808215,492.175106,468.4294177,440.1729283,432.8053197,441.744838,440.1262277,439.0820407,446.15943,445.5629383,445.2665967,448.8697963,449.9649973,458.3404297
1520000,363.2781293,312.504084,308.529362,307.7334743,305.537164,305.474484,307.2204473,309.9129733,310.7197513,308.9249793,312.1886907,318.0058087,316.2827317,315.7749793,318.569952,318.3136433,322.9110547,323.7592007,325.1219133,324.9764987,328.667033,332.4402047,329.1653247,336.76108,356.7084293,339.3256127,342.181109,343.4810687,348.9392887,346.4681873,345.0716117,350.2755887,353.7355123,357.7850717,354.9526553,390.9627597,434.5247407,415.589585,412.0468367,429.065933,421.5907803,415.6046877,449.996268,432.1709903,423.0308687,411.9725957,426.374826,394.8607667,409.344354,396.8698987,446.4798857,471.5856113,464.0641293,441.5185947,464.0249227,458.6201827,477.6337743,482.8174127,491.616911,486.447406,496.0330577,504.128639,464.6778537,507.9333963,517.7575353,506.4046157,518.0777607,482.0170697,515.9660347,520.526653,529.8284353,541.893155,499.468718,490.5143517,520.791014,525.971931,564.2879447,533.328568,534.438923,566.7230047,542.2034617,579.7441787,565.621718,535.6808077,491.3971033,494.6832773,493.511732,499.4435217,504.5427983,507.5131893,542.7447923,538.5196403,515.1447667,516.3736573,518.6172893,525.8973287,527.7274147,532.4480277,536.0304307,532.2056737,543.3831667,542.4051817,543.8813867,547.589983,546.6492533,550.823945,557.9863403,565.9189327,562.7021623,564.9003787,565.620817,566.4743793,570.7611397,577.8306693,575.7089183,590.6750043,585.4158553,588.3907093,589.5804037,595.003224,600.479059,598.90889,602.4293657,605.2155483,611.651957,618.5360123,672.343811,741.3509187,746.280989,675.7933373,668.9564077,697.9273303,641.862408,707.0736377,725.7699677,745.5917093,718.716589,659.3073493,754.9731987,734.9446463,743.308102,713.913064,759.3605597,755.9231447,745.2786027,721.0891473,740.7171093,708.3765003,744.448323,763.389274
2020000,479.792676,471.2711303,401.2372413,433.9444783,449.8705243,441.6212777,422.3147453,440.9715573,433.2534343,461.9598067,460.467217,467.3572303,421.4065657,413.8401087,413.7691873,423.3109233,422.1881237,423.0653213,423.0986,425.4200927,425.0214663,430.0646357,431.851751,442.9681453,441.4645363,443.902366,454.727983,460.0082317,452.1531227,463.4879113,462.3117307,471.0750187,465.9512893,474.3069197,485.6204677,476.5097403,475.4696377,487.0061523,495.2889093,491.7542373,497.2520187,499.4727263,501.8414207,507.1239,509.6864733,525.5687327,520.2634213,528.688115,523.0207563,528.3972343,533.1946697,543.9728207,537.1163543,549.2886637,558.2215693,556.4795893,552.3273313,568.0604187,566.2167047,568.6822637,576.2790083,578.7732987,589.2143187,591.171665,589.0115953,593.2799903,594.8016143,595.5717847,618.658736,667.279179,684.9375743,659.6255287,663.4495997,721.5666773,747.9356123,699.440377,671.3463833,677.7006807,696.509237,740.8804377,718.7733907,718.1007357,712.7326923,752.303672,717.657047,694.1650977,763.795363,726.705209,777.5232887,755.356282,746.100448,789.1323327,800.958487,799.7798547,767.7898547,796.731277,758.025835,777.447038,807.1116473,804.5328663,805.0331873,883.7912033,799.7270053,781.6774323,842.558236,855.523879,867.892489,816.642451,865.2378393,846.8263603,861.000344,849.6174747,883.4969353,870.05203,862.2367163,836.9311743,875.8657753,849.689279,875.4090047,887.0989593,854.8972037,877.2302563,855.7068377,853.3402093,864.7161297,897.9527103,924.4297087,932.1973927,933.687858,960.075961,963.3365243,935.3484677,933.9677353,909.6000217,1249.569118,1086.067409,979.037199,952.6859553,962.6121673,1017.490955,979.3153927,980.1436797,986.6324723,1041.828021,1019.470173,1107.251305,1019.301487,1123.249822,1079.091026,1023.76233
2520000,690.998269,681.8865633,687.119826,793.4837167,719.316278,655.5907263,652.6912333,636.734842,633.5057457,629.2758013,640.852733,645.7501303,681.3812447,665.4825853,701.548722,707.7006687,699.2816243,702.6672767,717.6391613,731.0117523,734.8308023,766.1522957,754.814882,731.7324797,725.8736703,700.9443837,707.7387503,704.4572167,708.3814577,721.7712317,747.2116793,749.3293217,790.278404,768.0324387,742.8718647,676.6903127,746.3744,739.9709007,742.941909,759.8478933,792.481783,813.29617,789.0600257,778.8159127,792.0034237,824.6420683,826.7879757,870.5875937,882.6125577,826.9642207,847.1810113,884.4325087,830.8385477,818.9690167,815.2533027,865.154673,885.2883617,879.637567,836.7122953,880.3634193,908.9867997,894.5515873,863.4408733,913.9813563,910.893061,909.5958423,919.9708827,937.558725,937.2373517,955.4225467,936.5362233,943.4986077,957.7226057,945.9723933,970.343522,946.491897,977.043471,988.961193,1000.219634,915.653068,996.8687057,1023.58805,967.6431593,997.330815,1019.5909,1017.639412,1047.193845,1008.742382,957.9833333,957.6132047,968.9770093,970.9598593,1016.948804,1045.125626,988.3217457,1036.50768,1075.490633,1091.331994,1093.71161,1070.175574,1005.713778,1028.660039,1079.016343,1120.917041,1057.762365,1104.289051,1101.59259,1108.958044,1149.673241,1150.198851,1145.298418,1154.677277,1193.895723,1264.479102,1201.076455,1133.446865,1126.754479,1252.410505,1139.206815,1213.392629,1246.553236,1171.513778,1172.297093,1230.998131,1175.919504,1225.228479,1247.799463,1258.103318,1281.171667,1226.161798,1204.129238,1230.26402,1308.666786,1293.473193,1282.752737,1271.446569,1538.077261,1294.772877,1364.892926,1336.724869,1341.154529,1304.020407,1346.908275,1287.360653,1293.061788,1327.747119,1332.994444,1460.50505,1596.23554,1447.137337
3020000,857.000328,779.152398,777.3584117,756.508697,749.2078117,747.2690257,762.1944077,784.452232,784.0103527,773.8662153,837.1119687,818.6288033,745.521332,732.224376,743.8543643,794.8584843,820.97728,829.5027597,820.052367,826.8611363,842.45816,821.6269,824.1598653,825.8804333,833.8463893,837.806321,841.5566137,844.459566,852.3472893,858.4349737,883.8478773,869.4555347,872.4115473,874.6088417,887.4199857,885.322399,968.6443693,987.1893487,935.0912733,959.945975,959.202207,943.132232,926.634505,939.3624963,957.3949197,988.0452573,979.194299,984.644483,994.810583,1001.54563,993.5361313,998.505976,995.5981343,992.493181,1004.580809,1069.765143,1152.082854,1075.611168,1069.433424,1071.713023,1044.35385,1062.243235,1068.265419,1067.268454,1057.490606,1084.081718,1073.531801,1071.249345,1075.010856,1076.114564,1138.449162,1193.749994,1224.419726,1173.996966,1100.925256,1126.318787,1123.395758,1132.153099,1134.090314,1131.995255,1160.160578,1343.255942,1275.330602,1280.81373,1298.414961,1304.375068,1285.044345,1320.202361,1343.217769,1337.16662,1325.544414,1348.518069,1339.148074,1312.56864,1295.162834,1327.657994,1341.850945,1349.947766,1353.12195,1368.110129,1374.859067,1377.231242,1343.366955,1377.967591,1384.613531,1331.558413,1363.018912,1336.349819,1417.461808,1388.902032,1417.158503,1434.665086,1434.000343,1432.477461,1433.276066,1399.138361,1458.927871,1466.132159,1460.707015,1470.776047,1477.577765,1481.116229,1460.807611,1494.887613,1507.015183,1512.523682,1510.932707,1536.677981,1527.874452,1522.275261,1571.755285,1608.150006,1554.988069,1593.691207,1423.662884,1415.035371,1406.629861,1451.42236,1427.307366,1430.106071,1438.845498,1437.565387,1450.537485,1445.797759,1477.363221,1478.262144,1485.041914,1504.580132,1490.455793,1488.775229
3520000,957.2650033,932.9053793,919.6016633,910.9425327,909.118993,917.0183723,913.5864333,908.0880993,919.893394,919.8274993,924.3380653,925.7122963,939.6846697,935.2795417,947.9006777,950.433449,960.5901353,963.7171547,965.73884,975.6605803,977.5182567,987.8271717,990.1473587,999.8187253,1002.043675,1014.051981,1011.041615,1029.785543,1031.987735,1039.58929,1043.046117,1039.173005,1055.272942,1060.267503,1053.344557,1072.924624,1093.808244,1091.746469,1099.502467,1102.668766,1107.463989,1111.149726,1126.843668,1135.048675,1153.838173,1151.787581,1174.919485,1217.809254,1174.223687,1190.299888,1178.411105,1203.598659,1253.256509,1248.482497,1228.247654,1281.865853,1308.167725,1314.757608,1275.11949,1275.887467,1280.543994,1263.159038,1317.775331,1328.43627,1329.0351,1319.393762,1340.608912,1403.592781,1404.311897,1412.222823,1438.875626,1476.002897,1492.527011,1482.237237,1494.326688,1504.606729,1490.100527,1510.034347,1522.277232,1525.531473,1539.691934,1525.058148,1523.905682,1532.617167,1573.296209,1532.279372,1544.378193,1547.171127,1558.00887,1548.718844,1550.134785,1513.695606,1454.223181,1448.150852,1449.174013,1473.064556,1475.989537,1483.82917,1488.400474,1490.862821,1497.470812,1509.277447,1519.575142,1522.589209,1515.593762,1530.536167,1537.815025,1527.603972,1554.543142,1551.469876,1566.14128,1570.713504,1576.344889,1581.658151,1594.475862,1591.277846,1597.936623,1595.789673,1625.12711,1616.976238,1637.05148,1650.346971,1644.777875,1660.515224,1658.201537,1664.66914,1666.564424,1685.991293,1684.489651,1693.577946,1701.847674,1712.831029,1708.523955,1731.688212,1732.115179,1762.081115,1744.403101,1744.351189,1763.159277,1750.859245,1766.00245,1907.961968,1927.683923,2017.195413,2054.061662,2055.229466,2041.149204,2023.391056,2029.675874,1979.837641
4020000,1125.494507,1111.61661,1108.256821,1099.616312,1097.153923,1086.499985,1096.715874,1096.06358,1099.735888,1100.98589,1086.732642,1093.468119,1105.917778,1104.490783,1107.90481,1130.809009,1139.716012,1112.80448,1102.312525,1142.300679,1130.69938,1141.193311,1167.626137,1199.329074,1190.142351,1211.49041,1210.578713,1223.955732,1235.238138,1235.765179,1244.059003,1252.861955,1259.40601,1248.412194,1278.376092,1254.881998,1271.27735,1270.660707,1269.370817,1285.315162,1280.936933,1310.00546,1323.675748,1343.189228,1344.820468,1332.650993,1352.000634,1341.856259,1368.560146,1365.99128,1379.690618,1383.607408,1407.397548,1411.723218,1424.901706,1421.461367,1433.267588,1433.217287,1440.432323,1448.971385,1448.970368,1460.225975,1478.775772,1477.649724,1483.600383,1529.14735,1543.70179,1543.294859,1564.189631,1606.00648,1618.330857,1617.052957,1650.609473,1635.569005,1677.917567,1632.587346,1661.92562,1681.912526,1703.695581,1698.276462,1684.909701,1660.041356,1627.983269,1647.444511,1704.062076,1721.942648,1764.425365,1766.283775,1732.358657,1752.253339,1766.923044,1786.950279,1781.3096,1791.788459,1766.025617,1804.64538,1815.835506,1820.720617,1830.908157,1836.382338,1846.874804,1841.801227,1852.186064,1848.741968,1875.900278,1834.035228,1862.087127,1867.207772,1861.729352,1907.674458,1909.637827,1907.963184,1948.910315,1966.641025,1972.459715,1986.182821,1968.302752,1984.561097,2015.813581,1925.525858,1853.142842,1856.124835,1870.883305,1877.503582,1877.580282,1892.577113,1884.960446,1913.094326,1906.847632,1898.948791,2102.303444,2136.654079,2152.477343,2142.555072,2200.673942,2202.221572,2214.130322,2205.406668,2190.898798,2240.882716,2177.946113,2229.179938,2220.585178,2275.850276,2255.618976,2220.748123,2166.63909,2158.944646,2225.101399,2251.568532
4520000,1221.306695,1205.255804,1205.87621,1216.056577,1232.981155,1229.236477,1243.407807,1242.192611,1239.918686,1244.567692,1252.633714,1257.998779,1251.600722,1261.631982,1264.882739,1258.184284,1270.417707,1293.089539,1265.508755,1255.898627,1254.769047,1283.12464,1301.599301,1319.421384,1318.980664,1346.231384,1329.301573,1334.359193,1348.880514,1357.567564,1366.308569,1368.366558,1398.667486,1373.01995,1399.266459,1406.919259,1419.626065,1433.350276,1423.697922,1447.224974,1487.364053,1469.436379,1499.940174,1555.624761,1555.411173,1576.23634,1586.55001,1588.280108,1598.993183,1610.051456,1605.863879,1628.576692,1638.709529,1639.036123,1640.892497,1661.670621,1673.86557,1662.81805,1702.836604,1700.779476,1708.005894,1716.89385,1732.131702,1738.057656,1738.737061,1743.710741,1753.24785,1776.877023,1800.847346,1796.772286,1840.87594,1873.85551,1848.145973,1757.893237,1772.466453,1798.000367,1797.24518,1818.341365,1836.80504,1812.492806,1860.741358,1865.594891,1859.161114,1742.187956,1803.422998,1849.930639,1770.036954,1717.166383,1733.542884,1742.865777,1754.651614,1763.37329,1772.658826,1780.298495,1786.182222,1795.268227,1798.958472,1890.724021,1992.400772,1985.008704,2020.440588,2022.031997,2017.40244,2027.355967,2076.739792,2073.760562,2072.451419,2030.554182,2099.045986,2122.713081,2146.935609,2153.892045,2133.014994,2141.907063,2178.847483,2189.249492,2195.216755,2192.029677,2226.969955,2247.995511,2268.700741,2258.75342,2282.637579,2320.293959,2341.686884,2314.681809,2290.574528,2332.883741,2314.166544,2335.563231,2338.098766,2315.853254,2373.500665,2379.940645,2415.4953,2386.745755,2444.04611,2462.955121,2469.038329,2462.04926,2438.51186,2496.149636,2513.794687,2530.0048,2511.083895,2540.327742,2570.65566,2588.235602,2558.562545,2607.204619
